Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Data References,"Mercury, Unfiltered (ng/L)","Mercury, Unfiltered Data Source","Mercury, Filtered (ng/L)","Mercury, Filtered Data Source","Methylmercury, Unfiltered (ng/L)","Methylmercury, Unfiltered Data Source","Methylmercury, Filtered (ng/L)","Methylmercury, Filtered Data Source"
BR-20,BUCKEYE FLAT MINE N DR TO GREENHORN C GRASS VALLEY,3.91446E+14,6/18/1999,11:30,Environmental,https://doi.org/10.3133/sir20045251,4.1,C2,2.5,C2,<.04,W1,ND,ND
BR-20,BUCKEYE FLAT MINE N DR TO GREENHORN C GRASS VALLEY,3.91446E+14,12-02-99,11:00,Environmental,https://doi.org/10.3133/sir20045251,"31,012",C2,"1,276",C2,0.3,W1,ND,ND
BR-20,BUCKEYE FLAT MINE N DR TO GREENHORN C GRASS VALLEY,3.91446E+14,8/22/2000,10:45,Environmental,https://doi.org/10.3133/sir20045251,"5,570",C2,"2,500",C2,ND,ND,ND,ND
BR-20,BUCKEYE FLAT MINE N DR TO GREENHORN C GRASS VALLEY,3.91446E+14,2/21/2002,15:30,Environmental,NP,5,CQ,ND,ND,ND,ND,<0.04,W1
BR-21,BUCKEYE FLAT MINE POND DR .15 MI AB SF GREENHORN C,3.91416E+14,8/21/2000,14:10,Environmental,https://doi.org/10.3133/sir20045251,9.4,C2,10.1,C2,ND,ND,ND,ND
BR-22,BUCKEYE FLAT MINE S DR TO SF GRNHRN C GRASS VALLEY,3.91415E+14,8/26/1999,11:00,Environmental,https://doi.org/10.3133/sir20045251,"185,500",C2,"6,200",C2,9.11,W1,ND,ND
BR-22,BUCKEYE FLAT MINE S DR TO SF GRNHRN C GRASS VALLEY,3.91415E+14,8/22/2000,12:10,Environmental,https://doi.org/10.3133/sir20045251,"43,950",C2,"8,000",C2,ND,ND,ND,ND
BR-24,BUCKEYE FLAT MINE MAIN DR .45 MI AB GREENHORN C,3.91425E+14,8/21/2000,11:00,Environmental,https://doi.org/10.3133/sir20045251,1.5,C2,1,C2,ND,ND,ND,ND
BR-25,BUCKEYE FLAT MINE UPPER DRAIN TO GREENHORN C,3.91453E+14,04-09-01,10:00,Environmental,https://doi.org/10.3133/sir20045251,3.3,C2,1.3,C2,<.04,W1,<.04,W1
BR-25,BUCKEYE FLAT MINE UPPER DRAIN TO GREENHORN C,3.91453E+14,10/18/2001,11:30,Environmental,https://doi.org/10.3133/sir20045251,5.2,C2,1,C2,0.06,W1,0.05,W1
BR-28,BUCKEYE FLAT MINE DRAIN .06 MI AB GREENHORN C,3.91416E+14,2/21/2002,15:00,Environmental,NP,7.8,CQ,ND,ND,ND,ND,<0.04,W1
BR-30,GREENHORN C NR HEADWATERS NR SCOTTS FLAT RES,3.91657E+14,1/25/2000,9:30,Environmental,https://doi.org/10.3133/sir20045251,7,C2,5.1,C2,0.06,W1,ND,ND
