Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Data References,"Mercury, Unfiltered (ng/L)","Mercury, Unfiltered Data Source","Mercury, Filtered (ng/L)","Mercury, Filtered Data Source","Methylmercury, Unfiltered (ng/L)","Methylmercury, Unfiltered Data Source","Methylmercury, Filtered (ng/L)","Methylmercury, Filtered Data Source"
BR-101,WALLOUPA MINE SOUTH DRAINAGE TUNNEL NR GOLD RUN CA,3.91132E+14,02-06-02,12:30,Environmental,NP,8.3,C2,2.3,C2,E0.04,W1,<0.04,W1
BR-102,WALLOUPA MINE EAST DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,05-05-99,15:20,Environmental,NP,12.5,C2,3.6,C2,<0.025,W1,ND,ND
DC-02,DEER C AB SCOTTS FLAT RES NR NEVADA CITY CA,3.91731E+14,1/27/2000,10:00,Environmental,NP,2,C2,E0.9,C2,<0.025,W1,ND,ND
DC-03,DEER C BL SCOTTS FLAT RES NR NEVADA CITY CA,3.91617E+14,1/27/2000,13:30,Environmental,NP,6.1,C2,2.5,C2,<0.025,W1,ND,ND
DC-05,DEER C BL DEER C FALLS NR ROUGH AND READY CA,3.9144E+14,8/24/2000,10:00,Environmental,NP,174,C2,330,C2,ND,ND,0.17,W1
DC-08,UNNAMED TRIB TO DEER C A SCOTTS FLAT RES BL CASCI,3.91728E+14,1/27/2000,11:00,Environmental,NP,"19,500",C2,298,C2,0.08,W1,ND,ND
LY-04,YUBA R NR SMARTSVILLE CA,11419600,12-11-02,11:00,Environmental,NP,1.8,C2,E0.8,C2,<0.04,W1,<0.04,W1
LY-05,YUBA R A DAQUERRA PT NR BROWNS VALLEY CA,11420800,8/28/2001,15:00,Environmental,NP,ND,ND,ND,ND,<0.04,W1,<0.04,W1
LY-05,YUBA R A DAQUERRA PT NR BROWNS VALLEY CA,11420800,12-10-02,11:40,Environmental,NP,9.5,C2,E0.8,C2,<0.04,W1,<0.04,W1
LY-08,YUBA R A MARYSVILLE CA,11421500,12-11-02,10:00,Environmental,NP,1.3,W1,E0.8,"C2,W1",0.08,W1,0.05,W1
LY-11,WETLANDS POND NE OF S POND IN YUBA GOLDFIELDS,3.913E+14,7/17/2003,15:20,Environmental,NP,8.8,"C2,W1",3,"C2,W1",0.95,W1,0.47,W1
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/22/2003,11:40,Environmental,NP,1.8,W1,1,W1,<0.04,W1,<0.04,W1
LY-13,LARGE POND W OF WETLANDS POND IN YUBA GOLDFIELDS,3.91258E+14,7/22/2003,13:10,Environmental,NP,2.1,W1,1.2,W1,0.26,W1,0.1,W1
LY-14,BIG SEEP SECTION 27 IN YUBA GOLDFIELDS,3.91305E+14,7/17/2003,14:20,Environmental,NP,1.8,W1,1.3,W1,<0.04,W1,<0.04,W1
LY-15,T POND OUTLET IN YUBA GOLDFIELDS NR HAMMONTON CA,3.9125E+14,7/17/2003,15:50,Environmental,NP,2.1,W1,1,W1,<0.04,W1,<0.04,W1
LY-16,T POND IN YUBA GOLDFIELDS NR HAMMONTON CA,3.91259E+14,7/17/2003,13:00,Environmental,NP,2.3,W1,ND,ND,<0.04,W1,ND,ND
MY-01,M YUBA R BL MILTON DAM CA,11408550,10/28/2002,12:00,Environmental,NP,E0.5,"C2,W1",E0.3,W1,<0.04,W1,<0.04,W1
MY-01,M YUBA R BL MILTON DAM CA,11408550,06-10-03,10:30,Environmental,NP,E0.8,W1,1.4,W1,<0.04,W1,<0.04,W1
MY-02,M YUBA R NR ALLEGHANY CA,11408700,11-01-02,12:20,Environmental,NP,E0.5,"C2,W1",E0.3,"C2,W1",ND,ND,<0.04,W1
MY-03,M YUBA R NR CAMPTONVILLE CA,11408850,11-04-02,12:50,Environmental,NP,1.5,"C2,W1",E0.7,"C2,W1",ND,W1,<0.04,W1
MY-04,M YUBA R NR NORTH SAN JUAN CA,11410000,10/21/2002,13:00,Environmental,NP,E0.9,"C2,W1",E0.5,"C2,W1",<0.04,W1,<0.04,W1
MY-05,CLEAR C NR NORTH SAN JUAN CA,3.92256E+14,4/28/2004,10:30,Environmental,NP,2.6,W1,1.6,W1,0.05,W1,0.05,W1
MY-06,SWEETLAND C AT SWEETLAND CA,3.92036E+14,4/27/2004,10:20,Environmental,NP,14.8,W1,8.1,W1,0.57,W1,0.54,W1
MY-07,M YUBA R AB COLGATE PH NR FRENCH CORRAL CA,3.9195E+14,10/25/2002,10:50,Environmental,NP,E0.8,"C2,W1",E0.5,"C2,W1",0.52,W1,<0.04,W1
SY-01,OMEGA EAST SHAFT (TUNNEL VENT SHAFT) NR WASHINGTON,3.92022E+14,4/30/1999,13:20,Environmental,NP,4,C2,E<0.3,C2,0.11,W1,ND,ND
SY-03,OMEGA SOUTH TUNNEL NR WASHINGTON CA,3.9202E+14,4/30/1999,12:30,Environmental,NP,2.1,C2,E<0.3,C2,0.04,W1,ND,ND
SY-04,OMEGA DR GULCH A SCOTCHMAN C NR WASHINGTON CA,3.92045E+14,06-08-99,13:30,Environmental,NP,1.4,C2,1.3,C2,<0.025,W1,ND,ND
SY-05,SCOTCHMAN C AB OMEGA DR GULCH NR WASHINGTON CA,3.92042E+14,06-08-99,14:30,Environmental,NP,1.1,C2,0.9,C2,<0.025,W1,ND,ND
SY-06,ALPHA MINE RED TUNNEL NR WASHINGTON,3.92023E+14,12/16/1999,11:20,Environmental,NP,5.7,C2,1.2,C2,<0.025,W1,ND,ND
SY-07,ALPHA MINE MAIN DRAINAGE N ALPHA DIG NR WASHINGTON,3.92108E+14,6/20/2000,13:30,Environmental,NP,2,C2,1,C2,<0.04,W1,ND,ND
SY-08,SCOTCHMAN C A THE FALLS NR WASHINGTON CA,3.92116E+14,7/29/2002,15:40,Environmental,NP,2,C2,E0.5,C2,0.08,W1,0.04,W1
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,6/20/2000,14:00,Environmental,NP,2.6,C2,2,C2,0.04,W1,ND,ND
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,7/29/2002,14:30,Environmental,NP,1.3,C2,E0.4,C2,0.04,W1,0.05,W1
SY-11,ALPHA MINE PIT NR WASHINGTON CA,3.92015E+14,12/16/1999,10:30,Environmental,NP,54.7,C2,3,C2,0.73,W1,ND,ND
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,3.92007E+14,8/23/2000,14:50,Environmental,NP,ND,ND,ND,ND,<0.04,W1,0.05,W1
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,3.92007E+14,7/29/2002,11:10,Environmental,NP,3.7,C2,1.2,C2,<0.04,W1,<0.04,W1
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,3.92512E+14,7/31/2002,11:40,Environmental,NP,ND,ND,ND,ND,<0.04,W1,<0.04,W1
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,3.92512E+14,7/31/2002,14:00,Environmental,NP,53.2,C2,3.5,C2,0.04,W1,0.05,W1
SY-17,GRIZZLY HILL TUNNEL OUTLET NR NORTH BLOOMFIELD CA,3.92014E+14,3/16/2003,11:30,Environmental,NP,31.9,C2,13.3,C2,0.12,W1,0.06,W1
SY-19,LE DU MINE TUNNEL DISCHARGE,3.92151E+14,02-05-02,12:00,Environmental,NP,3.7,C2,E0.8,C2,<0.04,W1,<0.04,W1
SY-20,CRYSTAL HILL MINE POND NR NORTH BLOOMFIELD CA,3.92159E+14,02-05-02,15:00,Environmental,NP,8.1,C2,1.1,C2,<0.04,W1,<0.04,W1
SY-21,MALAKOFF DIGGINGS FLD GREEN SHAFT DISCH NR BLMFLD,3.92152E+14,4/28/1999,16:30,Environmental,NP,1.5,C2,7.4,C2,<0.025,W1,ND,ND
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,4/28/1999,16:00,Environmental,NP,266,C2,E0.3,C2,0.78,W1,ND,ND
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,12-01-99,14:20,Environmental,NP,164,C2,E0.6,C2,0.18,W1,ND,ND
SY-23,MALAKOFF DIGGINGS HILLER TNNL DISCH N BLOOMFIELD,3.92204E+14,12-01-99,12:20,Environmental,NP,48.6,C2,4.8,C2,0.44,W1,ND,ND
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,12-01-99,11:00,Environmental,NP,14.1,C2,4.2,C2,0.59,W1,ND,ND
SY-25,MALAKOFF DIGGINGS LK CITY TNNL DISCH NR N BLMFLD,3.92111E+14,07-07-99,13:00,Environmental,NP,4.3,C2,1.3,C2,0.06,W1,ND,ND
SY-27,MALAKOFF DIGGINGS N BLMFLD TNNL DISCH NR N BLMFLD,3.92051E+14,07-07-99,11:30,Environmental,NP,33.5,C2,E0.8,C2,0.08,W1,ND,ND
SY-29,RELIEF HILL DEEP BLUE TNNL OUTFLOW NR N BLOOMFIELD,3.92126E+14,5/20/1999,12:00,Environmental,NP,5.4,C2,E0.6,C2,0.07,W1,ND,ND
SY-30,RELIEF HILL HYDR PIT MINE DR TNNL NR N BLOOMFIELD,3.92111E+14,09-01-99,12:00,Environmental,NP,ND,ND,ND,ND,<0.025,W1,ND,ND
SY-30,RELIEF HILL HYDR PIT MINE DR TNNL NR N BLOOMFIELD,3.92111E+14,7/30/2002,13:00,Environmental,NP,14.2,C2,2.5,"C2,W1",0.1,W1,<0.04,W1
SY-32,RELIEF HILL POND NR RELIEF HILL CA,3.92119E+14,7/30/2002,11:00,Environmental,NP,E0.8,C2,E<0.3,C2,<0.04,W1,<0.04,W1
SY-33,LITTLE ROCK C .05 MI BL BLUE TENT RD NR NEVADA CTY,3.91726E+14,07-08-03,13:00,Environmental,NP,12,F1,1.9,F1,ND,F1,0.03,F1
SY-34,LITTLE ROCK C .1 MI BL BLUE TENT RD NR NEVADA CITY,3.91727E+14,07-08-03,12:10,Environmental,NP,7.9,F1,1.9,F1,0.03,F1,ND,ND
SY-35,LITTLE ROCK C .2 MI BL BLUE TENT RD NR NEVADA CITY,3.91728E+14,07-08-03,11:10,Environmental,NP,12.9,F1,1.7,F1,0.15,F1,ND,ND
SY-36,LITTLE ROCK C .9 MI BL BLUE TENT RD NR NEVADA CITY,3.91742E+14,07-12-03,10:40,Environmental,NP,3.8,F1,1.6,F1,ND,F1,0.08,F1
SY-37,LITTLE ROCK C AB ROCK C NR NEVADA CITY CA,3.91759E+14,07-12-03,12:30,Environmental,NP,2.9,F1,1.7,F1,0.12,F1,ND,ND
SY-38,ROCK C AB LITTLE ROCK C NR NEVADA CITY CA,3.91756E+14,07-12-03,12:30,Environmental,NP,5.4,F1,E0.8,F1,0.04,F1,ND,ND
SY-39,ROCK C A ROCK C RD NR NEVADA CITY CA,3.9181E+14,07-10-03,12:40,Environmental,NP,1.3,F1,E0.8,F1,ND,ND,0.05,F1
SY-40,LAKE VERA ROCK C ARM NR NEVADA CITY CA,3.91803E+14,6/26/2003,15:00,Environmental,NP,1.6,F1,2.1,F1,0.05,F1,ND,ND
SY-41,LAKE VERA IN THALWEG NR DAM NR NEVADA CITY CA,3.91807E+14,6/26/2003,14:30,Environmental,NP,1.7,F1,1,F1,ND,ND,ND,ND
SY-42,LAKE VERA S SHORE NR NEVADA CITY CA,3.91802E+14,6/26/2003,15:30,Environmental,NP,1.6,F1,1,F1,0.05,F1,ND,ND
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,10/31/2002,10:20,Environmental,NP,2.1,"C2,W1",E0.3,"C1,W1",<0.04,W1,<0.04,W1
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,06-11-03,10:40,Environmental,NP,1.1,W1,E0.8,W1,<0.04,W1,<0.04,W1
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,09-07-11,15:20,Environmental,https://doi.org/10.3133/ds1056,E0.33,N1,0.7,N1,E.005,N1,0.03,N1
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,9/20/2012,11:30,Environmental,https://doi.org/10.3133/ds1056,E0.13,N1,E0.31,N1,E0.004,N1,E0.006,N1
SY-45,S YUBA R BL POORMAN C NR WASHINGTON CA,3.92119E+14,11-05-02,14:10,Environmental,NP,E0.7,"C2,W1",E0.4,"C1,W1",<0.04,W1,<0.04,W1
SY-45,S YUBA R BL POORMAN C NR WASHINGTON CA,3.92119E+14,09-07-11,11:10,Environmental,https://doi.org/10.3133/ds1056,E0.20,N1,E0.50,N1,0.01,N1,0.03,N1
SY-46,S YUBA R A MISSOURI BAR NR NEVADA CITY CA,3.92025E+14,10/29/2002,11:00,Environmental,NP,1.4,W1,E0.5,"C2,W1",<0.04,W1,<0.04,W1
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,1/28/2000,11:00,Environmental,NP,4.8,C2,1.9,C2,0.04,W1,ND,ND
SY-48,S YUBA R AB PURDON CROSSING NR NEVADA CITY CA,3.91938E+14,10/21/2002,10:30,Environmental,NP,1.8,"C2,W1",ND,ND,ND,ND,ND,ND
SY-48,S YUBA R AB PURDON CROSSING NR NEVADA CITY CA,3.91938E+14,10/21/2002,11:00,Environmental,NP,1.3,W1,E0.7,"C2,W1",<0.04,W1,<0.04,W1
SY-50,S YUBA R A BRIDGEPORT CA,3.91734E+14,10/23/2002,13:50,Environmental,NP,E0.7,W1,E0.8,"C2,W1",<0.04,W1,<0.04,W1
SY-51,SAILOR FLAT MINE E DR GULCH NR NEVADA CITY CA,3.9194E+14,8/24/1999,11:45,Environmental,NP,13.7,C2,ND,ND,1.1,W1,ND,ND
SY-52,BLUE HOLE LK A SAILOR FLAT MINE NR NEVADA CITY CA,3.91937E+14,8/24/1999,11:00,Environmental,NP,2.1,C2,E0.9,C2,<0.025,W1,ND,ND
SY-52,BLUE HOLE LK A SAILOR FLAT MINE NR NEVADA CITY CA,3.91937E+14,8/21/2002,14:30,Environmental,NP,E0.8,C1,E0.8,C1,ND,ND,ND,ND
SY-54,SHADY C NR NORTH SAN JUAN CA,3.91922E+14,2/26/2004,14:40,Environmental,NP,73.4,W1,9.9,W1,0.12,W1,0.1,W1
SY-56,BIRCHVILLE POND NR FRENCH CORRAL CA,3.91937E+14,02-05-02,16:30,Environmental,NP,2.5,C2,1.3,C2,0.04,W1,<0.04,W1
SY-57,FRENCH CORRAL C NR BRIDGEPORT CA,3.91744E+14,4/29/2004,12:30,Environmental,NP,6.6,W1,4.5,W1,0.09,W1,0.07,W1
SY-58,KENTUCKY RAVINE NR FRENCH CORRAL CA,3.91726E+14,4/29/2004,13:50,Environmental,NP,1.3,W1,1.1,W1,0.06,W1,0.07,W1
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,06-05-01,12:15,Environmental,NP,1.9,C2,1.6,C2,<0.04,W1,<0.04,W1
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,8/13/2002,12:30,Environmental,NP,1.2,C2,0.9,C2,0.18,W1,0.19,W1
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,4.10916E+14,06-05-01,13:00,Environmental,NP,1.8,C2,1.1,C1,<0.04,W1,<0.04,W1
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,4.10916E+14,8/13/2002,13:00,Environmental,NP,1,"C2,W1",E0.3,C2,<0.04,W1,<0.04,W1
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,4.1074E+14,06-05-01,14:00,Environmental,NP,5,C2,2.3,C2,ND,ND,ND,ND
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,4.1074E+14,8/13/2002,11:00,Environmental,NP,4.1,"C2,W1",1.8,"C2,W1",0.07,W1,0.07,W1
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,06-05-01,15:00,Environmental,NP,165,C2,73.9,C2,0.16,W1,<0.04,W1
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,14:00,Environmental,NP,150,C2,78.4,C2,0.07,W1,0.13,W1
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,06-05-01,15:30,Environmental,NP,1.4,C2,1.1,C2,<0.04,W1,<0.04,W1
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,8/13/2002,10:30,Environmental,NP,4.1,C2,3.3,C2,<0.04,W1,<0.04,W1
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,06-05-01,18:30,Environmental,NP,1,C2,2.1,C2,<0.04,W1,<0.04,W1
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,08-12-02,13:00,Environmental,NP,4.6,C2,1.8,C2,<0.04,W1,<0.04,W1
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,06-05-01,17:30,Environmental,NP,4.1,C2,1.7,C2,<0.04,W1,<0.04,W1
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,08-12-02,10:00,Environmental,NP,1.8,C2,1.7,C1,<0.04,W1,<0.04,W1
TR-11,TRINITY R A BIG FLAT DAY USE AREA NR BIG BAR CA,4.04427E+14,8/27/2002,14:20,Environmental,NP,E0.8,C2,E0.5,C2,<0.04,W1,<0.04,W1
TR-12,TRINITY R A HAYDEN FLAT NR BIG BAR CA,4.04656E+14,8/27/2002,9:30,Environmental,NP,E0.6,C2,1.1,C2,<0.04,W1,<0.04,W1
TR-13,CANYON C BL CONRAD GULCH NR JUNCTION CITY CA,4.04723E+14,8/27/2002,16:00,Environmental,NP,E0.5,C2,E0.8,C2,<0.04,W1,<0.04,W1
TR-14,EF OF NF TRINITY R .53 MI AB BARNEY GULCH,4.0494E+14,8/27/2002,12:00,Environmental,NP,1.8,C2,1.8,C1,E0.04,W1,<0.04,W1
TR-15,NEW R A DENNY CAMPGROUND NR DENNY CA,4.05557E+14,8/26/2002,15:20,Environmental,NP,E0.7,C2,E0.6,C2,<0.04,W1,<0.04,W1
SNI-005,BELDEN PH A BELDEN CA,11403050,9/19/2011,15:40,Environmental,https://doi.org/10.3133/ds1056,E0.10,N1,<0.04,N1,E0.004,N1,E0.005,N1
SNI-005,BELDEN PH A BELDEN CA,11403050,10/16/2012,14:50,Environmental,https://doi.org/10.3133/ds1056,<0.06,N1,E0.09,N1,0.01,N1,E0.006,N1
SNI-006,SPANISH C BL CLEAR C NR KEDDIE CA,4.00129E+14,9/20/2011,10:50,Environmental,https://doi.org/10.3133/ds1056,E0.21,N1,E0.25,N1,0.02,N1,0.04,N1
SNI-006,SPANISH C BL CLEAR C NR KEDDIE CA,4.00129E+14,10/16/2012,10:20,Environmental,https://doi.org/10.3133/ds1056,E0.10,N1,0.3,N1,0.01,N1,0.03,N1
SNI-007,SPANISH C NR EAST QUINCY CA,3.9583E+14,9/20/2011,16:00,Environmental,https://doi.org/10.3133/ds1056,E0.21,N1,E0.17,N1,0.01,N1,0.02,N1
SNI-009,MF FEATHER R A SLOAT CA,11393000,9/21/2011,12:30,Environmental,https://doi.org/10.3133/ds1056,E0.27,N1,E0.47,N1,0.01,N1,0.04,N1
SNI-011,MF FEATHER R NR DELLEKER CA,3.94647E+14,9/22/2011,13:00,Environmental,https://doi.org/10.3133/ds1056,E0.20,N1,E0.26,N1,0.01,N1,0.02,N1
SNI-012,MERCED R AB BM1186 NR BRICEBURG CA,3.73637E+14,11-03-11,11:00,Environmental,https://doi.org/10.3133/ds1056,<0.06,N1,E0.22,N1,E0.005,N1,0.011,N1
SNI-013,MERCED R AB HWY 140 BRIDGE NR EL PORTAL CA,3.74017E+14,11-02-11,13:00,Environmental,https://doi.org/10.3133/ds1056,E0.08,N1,E0.06,N1,0.01,N1,0.01,N1
SNI-040,MF COSUMNES R NR PIPI VLY NR OMO RANCH CA,3.83403E+14,8/30/2012,14:30,Environmental,https://doi.org/10.3133/ds1056,E0.06,N1,E0.20,N1,0.01,N1,0.04,N1
SNI-042,WOLF C NR LA BARR MEADOWS CA,3.90955E+14,09-06-12,14:30,Environmental,https://doi.org/10.3133/ds1056,4.1,N1,0.9,N1,0.05,N1,0.03,N1
SNI-043,S WOLF C NR CHICAGO PARK CA,3.90722E+14,09-06-12,16:00,Environmental,https://doi.org/10.3133/ds1056,0.7,N1,E0.48,N1,ND,ND,0.04,N1
SNI-045,SF DEER C NR WASHINGTON CA,3.91754E+14,9/25/2012,13:10,Environmental,https://doi.org/10.3133/ds1056,E.020,N1,E.028,N1,E0.2,N1,0.02,N1
SNI-046,S YUBA R NR CISCO CA,11414000,9/25/2012,15:00,Environmental,https://doi.org/10.3133/ds1056,E0.08,N1,E0.21,N1,0.01,N1,0.02,N1
SNI-047,FORDYCE C AB LK SPAULDING NR EMIGRANT GAP CA,3.92122E+14,10-01-12,13:40,Environmental,https://doi.org/10.3133/ds1056,E0.33,N1,E0.31,N1,E0.006,N1,0.01,N1
SNI-048,MF COSUMNES R NR OMO RANCH CA,3.83632E+14,10-03-12,12:00,Environmental,https://doi.org/10.3133/ds1056,<0.06,N1,E0.17,N1,0.01,N1,0.02,N1
SNI-051,SF FEATHER R NR LA PORTE CA,3.94034E+14,10/17/2012,12:00,Environmental,https://doi.org/10.3133/ds1056,<0.06,N1,E0.16,N1,E0.005,N1,<0.01,N1
SNI-052,SF FEATHER R 0.15 MI BL FORBESTOWN DAM CA,3.93302E+14,10/31/2012,11:10,Environmental,https://doi.org/10.3133/ds1056,E0.09,N1,E0.15,N1,0.01,N1,<.004,N1
SNI-053,MF FEATHER R A MILSAP BAR NR BRUSH CREEK CA,3.93302E+14,10/31/2012,14:30,Environmental,https://doi.org/10.3133/ds1056,E0.53,N1,E0.28,N1,0.01,N1,0.01,N1
SNI-054,MF FEATHER R ABV BRAY C NR SLOAT CA,3.95141E+14,11-07-12,14:30,Environmental,https://doi.org/10.3133/ds1056,E0.15,N1,0.6,N1,E.009,N1,0.03,N1
SNI-055,SF AMERICAN R A MOSQUITO RD NR PLACERVILLE CA,3.95141E+14,11/14/2012,11:30,Environmental,https://doi.org/10.3133/ds1056,E.05,N1,E.038,N1,<.005,N1,0.01,N1
SNI-056,SILVER FORK OF AMERICAN R NR KYBURZ CA,3.84526E+14,11/14/2012,15:00,Environmental,https://doi.org/10.3133/ds1056,<0.06,N1,E0.35,N1,<.005,N1,0.015,N1
SNI-057,NF OF MF AMERICAN R NR MICHIGAN BLUFF CA,3.9012E+14,11/15/2012,11:20,Environmental,https://doi.org/10.3133/ds1056,E0.05,N1,E0.28,N1,<.005,N1,0.008,N1
SNI-058,RUBICON R NR VOLCANOVILLE CA,3.85957E+14,11/15/2012,13:20,Environmental,https://doi.org/10.3133/ds1056,<0.06,N1,E0.23,N1,<.005,N1,<.01,N1
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,3/31/1999,11:30,Environmental Disturbed,NP,330,C1,ND,ND,2.32,W1,ND,ND
BR-67,TOM JERRY MINE DR A TUNNEL INLET NR NEVADA CITY CA,3.91627E+14,6/28/2000,12:30,Environmental Disturbed,https://doi.org/10.3133/sir20045251,231,C2,ND,ND,0.04,W1,ND,ND
BR-72,STARR MINE TUNNEL MIDWAY NR GRASS VALLEY CA,3.91329E+14,12/15/1999,11:30,Environmental Disturbed,https://doi.org/10.3133/sir20045251,"461,500",C2,33,C2,244,W1,ND,ND
BR-75,POLAR STAR MINE PIT SUMP NR DUTCH FLAT CA,3.91245E+14,08-03-00,13:40,Environmental Disturbed,NP,"3,200,000",C2,250,C2,ND,ND,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,05-07-99,6:00,Environmental Disturbed,NP,"9,450",C2,48,C2,0.53,W1,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,2/13/2001,10:21,Environmental Disturbed,NP,ND,ND,ND,ND,1.12,W1,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,12/21/2001,9:30,Environmental Disturbed,NP,ND,ND,ND,ND,0.49,W1,ND,ND
