Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Water Temperature (degrees Celsius),pH,Specific conductance (microsiemens/cm,Dissolved oxygen (mg/L),"Discharge, instantaneous, cubic feet per second",Barometric pressure (millimeters of mercury),"Dissolved oxygen, water, unfiltered, percent of saturation",Suspended sediment concentration (mg/L),"Suspended sediment, percentage finer than 0.063 mm"
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,2/21/2002,17:00,Environmental,12.1,6.8,146,9.7,ND,ND,ND,ND,ND
BR-57,HUNTS HILL DRAIN .03 MI AB GREENHORN C,3.91417E+14,2/21/2002,14:30,Environmental,9.8,6.5,59,11.9,ND,ND,ND,ND,ND
BR-58,GAS CANYON CR .05 MI AB GREENHORN C,3.91437E+14,2/21/2002,16:00,Environmental,9.3,4.7,84,12.8,ND,ND,ND,ND,ND
BR-62,SF GREENHORN C BLW BOSTON MINE NR NEVADA CITY CA,3.91351E+14,12/21/2001,12:40,Environmental,ND,ND,ND,ND,ND,ND,ND,7,94
BR-62,SF GREENHORN C BLW BOSTON MINE NR NEVADA CITY CA,3.91351E+14,2/21/2002,16:00,Environmental,ND,7.5,33,11.2,ND,ND,ND,3,88
BR-64,SAILOR FLAT E TRIB A MOUTH TO GREENHORN C,3.91611E+14,2/21/2002,12:00,Environmental,8.5,7,40,11.5,ND,ND,ND,ND,ND
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,3.91627E+14,7/30/2002,17:40,Environmental,15.5,6,81,5.8,ND,681,65,ND,ND
BR-73,STARR MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.9133E+14,2/21/2002,16:20,Environmental,11.8,7.4,163,10.6,ND,ND,ND,ND,ND
BR-76,POLAR STAR MINE TUNNEL INLET NR DUTCH FLAT CA,3.91243E+14,5/7/1999,12:00,Environmental,ND,6.3,352,ND,ND,ND,ND,114,ND
BR-77,POLAR STAR MINE TUNNEL MIDWAY NR DUTCH FLAT CA,3.91245E+14,5/7/1999,10:30,Environmental,ND,6.3,351,ND,ND,ND,ND,ND,ND
