Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Delta-18O SO4 (per mil VSMOW),Delta-34S SO4 (per mil CDT),Delta-18O H2O (per mil VSMOW),Delta-D H2O (per mil VSMOW),"Nitrogen, ammonia, filtered (mg/L)","Nigrogen, ammonia plus organic, filtered (mg/L)","Nitrogen, ammonia plus organic, unfiltered (mg/L)","Nitrogen, nitrite plus nitrate, filtered (mg/L)","Nitrogen, nitrite, filtered (mg/L)","Total nitrogen, particulate (mg/L)","Total phosphorus, filtered (mg/L)","Phosphorous, orthophosphate, filtered (mg/)","Total phosphorus, unfiltered (mg/L)","Carbon, inorganic plus organic, particulate (mg/L)","Carbon, organic, filtered (mg/L)","Carbon, organic, particulate (mg/L)","Alkalinity, laboratory (mg/L as CaCO3)",Chloride (mg/L),Sulfate (mg/L)
SY-50,S YUBA R A BRIDGEPORT CA,3.91734E+14,10/23/2002,13:50,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.06,<.008,ND,E.002,<.02,E.002,ND,0.6,<.2,41,ND,ND
SY-52,BLUE HOLE LK A SAILOR FLAT MINE NR NEVADA CITY CA,3.91937E+14,8/24/1999,11:00,Environmental,-1.5,3.1,-3.6,-44.1,<.02,E.06,<.10,<.05,<.010,ND,<.004,<.01,<.004,ND,0.3,0.2,ND,ND,ND
SY-52,BLUE HOLE LK A SAILOR FLAT MINE NR NEVADA CITY CA,3.91937E+14,8/21/2002,14:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.93,101
SY-54,SHADY C NR NORTH SAN JUAN CA,3.91922E+14,2/26/2004,14:40,Environmental,ND,ND,ND,ND,<.04,0.17,0.26,0.09,E.005,0.07,0.007,<.02,0.059,0.7,4.1,0.8,19,1.4,1.3
SY-56,BIRCHVILLE POND NR FRENCH CORRAL CA,3.91937E+14,2/5/2002,16:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.3,0.04
SY-57,FRENCH CORRAL C NR BRIDGEPORT CA,3.91744E+14,4/29/2004,12:30,Environmental,ND,ND,ND,ND,<.04,<.10,E.05,<.06,<.008,<.02,0.005,<.02,0.005,<.1,1.3,<.12,70,ND,ND
SY-58,KENTUCKY RAVINE NR FRENCH CORRAL CA,3.91726E+14,4/29/2004,13:50,Environmental,ND,ND,ND,ND,<.04,E.09,0.12,0.34,<.008,<.02,0.015,<.02,0.015,0.1,1.8,0.1,109,ND,ND
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,6/5/2001,12:15,Environmental,ND,ND,ND,ND,<.04,0.11,0.14,<.05,<.006,ND,E.004,<.02,0.006,ND,ND,ND,14,1.3,0.67
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,8/13/2002,12:30,Environmental,ND,ND,ND,ND,<.04,E.07,E.09,<.05,<.008,ND,E.002,<.02,0.004,ND,1.2,<.2,39,0.37,2.3
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,4.10916E+14,6/5/2001,13:00,Environmental,ND,ND,ND,ND,<.04,<.10,<.08,<.05,<.006,ND,<.006,<.02,<.004,ND,0.9,<.2,22,0.14,1
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,4.10916E+14,8/13/2002,13:00,Environmental,ND,ND,ND,ND,<.04,<.10,E.05,<.05,<.008,ND,<.004,<.02,E.002,ND,0.6,<.2,52,0.22,2.7
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,4.1074E+14,6/5/2001,14:00,Environmental,ND,ND,ND,ND,<.04,<.10,E.04,0.06,<.006,ND,<.006,<.02,<.004,ND,1.1,<.2,81,7.8,2.6
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,4.1074E+14,8/13/2002,11:00,Environmental,ND,ND,ND,ND,<.04,<.10,E.06,0.12,<.008,ND,E.002,<.02,E.003,ND,0.9,<.2,148,0.63,2.2
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,6/5/2001,15:00,Environmental,3.4,5.6,ND,ND,<.04,E.09,0.17,0.33,0.009,ND,E.005,<.02,0.009,ND,1.6,ND,ND,ND,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,6/5/2001,15:01,Laboratory Replicate,ND,5.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,14:00,Environmental,4.3,5.7,-11.4,-89,<.04,0.15,0.17,0.54,0.01,ND,E.004,<.02,0.006,ND,2,<.2,701,ND,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,14:01,Laboratory Replicate,ND,5.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,6/5/2001,15:30,Environmental,ND,ND,ND,ND,<.04,<.10,<.08,E.04,<.006,ND,<.006,<.02,E.003,ND,ND,ND,49,3.5,2
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,8/13/2002,10:30,Environmental,9.2,17.6,-12.2,-89.1,<.04,E.06,E.07,0.2,<.008,ND,<.004,<.02,<.004,ND,1.7,<.2,177,ND,ND
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,8/13/2002,10:31,Laboratory Replicate,9.4,ND,ND,-88.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,6/5/2001,18:30,Environmental,ND,ND,ND,ND,<.04,<.10,<.08,E.03,<.006,ND,<.006,<.02,<.004,ND,ND,ND,54,4.6,1.4
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,8/12/2002,13:00,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,0.05,<.008,ND,<.004,<.02,E.002,ND,ND,ND,103,16,4.1
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,6/5/2001,17:30,Environmental,ND,ND,ND,ND,<.04,<.10,<.08,E.04,<.006,ND,<.006,<.02,E.003,ND,ND,ND,56,ND,ND
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,8/12/2002,10:00,Environmental,ND,ND,ND,ND,<.04,E.06,E.05,E.03,<.008,ND,E.003,<.02,E.003,ND,0.8,<.2,92,18,3.3
TR-11,TRINITY R A BIG FLAT DAY USE AREA NR BIG BAR CA,4.04427E+14,8/27/2002,14:20,Environmental,ND,ND,ND,ND,<.04,<.10,E.08,<.05,<.008,ND,E.004,<.02,0.006,ND,1.2,<.2,48,6.1,3
TR-12,TRINITY R A HAYDEN FLAT NR BIG BAR CA,4.04656E+14,8/27/2002,9:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.4,2.5
TR-13,CANYON C BL CONRAD GULCH NR JUNCTION CITY CA,4.04723E+14,8/27/2002,16:00,Environmental,ND,ND,ND,ND,<.04,<.10,E.06,<.05,<.008,ND,E.002,<.02,0.005,ND,0.6,<.2,ND,ND,ND
TR-14,EF OF NF TRINITY R .53 MI AB BARNEY GULCH,4.0494E+14,8/27/2002,12:00,Environmental,-0.9,-1.3,-11.3,-83.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,71,0.31,7.8
TR-15,NEW R A DENNY CAMPGROUND NR DENNY CA,4.05557E+14,8/26/2002,15:20,Environmental,5.2,-1.9,-10.9,-77.5,<.04,<.10,E.07,<.05,<.008,ND,0.005,<.02,0.006,ND,0.7,<.2,93,2.1,7.5
BR-75,POLAR STAR MINE PIT SUMP NR DUTCH FLAT CA,3.91245E+14,8/3/2000,13:40,Environmental Disturbed,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,88,ND,ND
