Station Map ID,USGS Station Name,USGS Station Number,Date ,Time,Sample Type,Data References,"Total Mercury, Dry (ng/g)",Total Mercury Data Source,"Methylmercury, Dry (ng/g)",Methylmercury Data Source,Loss On Ignition (percent)
BR-69,SAILOR FLAT MINE MAIN DR GULCH 01 NR QUAKER HILL,391620120532201,11/12/1999,14:30,Environmental,https://doi.org/10.3133/sir20045251,4.4,W1,<0.02,W1,0
BR-69,SAILOR FLAT MINE MAIN DR GULCH 01 NR QUAKER HILL,391620120532201,11/12/1999,15:00,Environmental,https://doi.org/10.3133/sir20045251,6.3,W1,0.03,W1,0
BR-72,STARR MINE TUNNEL MIDWAY NR GRASS VALLEY CA,391329120543001,11/12/1999,12:30,Environmental,https://doi.org/10.3133/sir20045251,"12,100",W1,9.50,W1,0
BR-73,STARR MINE TUNNEL OUTLET NR GRASS VALLEY CA,391330120543301,08/23/2000,17:45,Environmental,NP,"41,000",W1,4.10,W1,21.6
BR-75,POLAR STAR MINE PIT SUMP NR DUTCH FLAT CA,391245120500301,08/03/2000,13:30,Environmental,NP,"33,100",W1,1.06,W1,1.68
BR-75,POLAR STAR MINE PIT SUMP NR DUTCH FLAT CA,391245120500301,08/03/2000,13:30,Environmental,NP,"17,400",W1,0.84,W1,2.07
BR-77,POLAR STAR MINE TUNNEL MIDWAY NR DUTCH FLAT CA,391245120501301,05/27/1999,10:30,Environmental,NP,"11,800",C1,0.28,W1,3.11
BR-77,POLAR STAR MINE TUNNEL MIDWAY NR DUTCH FLAT CA,391245120501301,05/27/1999,10:45,Environmental,NP,"9,000",C1,2.92,W1,1.57
BR-77,POLAR STAR MINE TUNNEL MIDWAY NR DUTCH FLAT CA,391245120501301,11/12/1999,9:25,Environmental,NP,"7,640",W1,0.30,W1,4.29
BR-77,POLAR STAR MINE TUNNEL MIDWAY NR DUTCH FLAT CA,391245120501301,11/12/1999,9:40,Environmental,NP,"4,830",W1,0.32,W1,6.19
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,391247120501401,12/21/2001,9:15,Environmental,NP,"5,340",W1,0.21,W1,2.57
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,391247120501401,12/21/2001,0000,Environmental,NP,"7,630",W1,0.35,W1,3.74
BR-85,BEAR R BL STEEPHOLLOW C NR CHICAGO PARK CA,391023120541301,01/26/2000,13:10,Environmental,NP,162,W1,0.12,W1,2.82
BR-89,SOUTHERN CROSS MINE TUNNEL MIDWAY NR DUTCH FLAT CA,391237120502401,05/27/1999,15:00,Environmental,NP,"15,300",C1,0.62,W1,4.28
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,391146120530601,01/26/2000,10:00,Environmental,NP,139,W1,<0.16,W1,3.06
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,391146120530601,06/19/2001,9:00,Environmental,NP,132,W1,0.14,W1,2.43
